'CO'
5.0D-3     : Molecule Abundance (CO)
0.112D-18  : electric dipole moment (CO)
57.6356D9  : Rotational Constant (Robinson 1974)
30         : Number of levels.
40         : Number of C coefficieant tabele for the temperature. 

       10.
  ( 0, 0)  ( 0, 1)  ( 0, 2)  ( 0, 3)  ( 0, 4)  ( 0, 5)  ( 0, 6)  ( 0, 7)  ( 0, 8)  ( 0, 9)  ( 0,10)  ( 0,11)  ( 0,12)  ( 0,13)  ( 0,14)  ( 0,15)  ( 0,16)  ( 0,17)  ( 0,18)  ( 0,19)  ( 0,20)  ( 0,21)  ( 0,22)  ( 0,23)  ( 0,24)  ( 0,25)  ( 0,26)  ( 0,27)  ( 0,28)  ( 0,29)
 1.40D-13 3.38D-13 1.32D-12 8.55D-12 2.65D-11 9.15D-10 7.87D-11 8.32D-11 2.91D-11 1.24D-11 6.71D-12 1.68D-12 1.27D-12 3.25D-13 2.16D-13 9.53D-14 3.98D-14 2.64D-14 1.23D-14 4.23D-15 2.16D-15 1.72D-15 6.42D-16 3.72D-16 1.07D-16 8.08D-17 4.27D-17 2.12D-17 1.03D-17 2.65D-18
 8.39D-15 2.87D-14 1.18D-13 6.04D-13 5.47D-12 1.77D-11 8.89D-10 7.33D-11 9.16D-11 3.37D-11 1.27D-11 9.89D-12 2.30D-12 1.50D-12 4.70D-13 3.20D-13 9.89D-14 6.71D-14 3.33D-14 1.00D-14 6.12D-15 4.31D-15 1.99D-15 9.92D-16 3.27D-16 2.26D-16 1.33D-16 6.01D-17 3.15D-17 7.43D-18
 4.11D-16 1.33D-15 7.87D-15 4.10D-14 2.77D-13 3.11D-12 1.22D-11 8.50D-10 7.32D-11 9.36D-11 3.39D-11 1.16D-11 1.13D-11 2.33D-12 2.21D-12 6.15D-13 3.47D-13 1.52D-13 8.97D-14 2.47D-14 1.50D-14 1.14D-14 4.89D-15 2.79D-15 8.44D-16 6.71D-16 3.59D-16 1.77D-16 8.66D-17 2.14D-17
 2.90D-17 5.83D-17 2.88D-16 2.44D-15 1.54D-14 1.35D-13 1.89D-12 9.08D-12 8.62D-10 7.23D-11 8.63D-11 4.80D-11 1.60D-11 1.11D-11 3.01D-12 2.87D-12 5.97D-13 5.51D-13 1.87D-13 6.88D-14 3.44D-14 2.84D-14 1.22D-14 6.87D-15 2.21D-15 1.71D-15 9.96D-16 4.65D-16 2.44D-16 5.58D-17
 7.97D-19 2.89D-18 1.10D-17 6.34D-17 7.41D-16 5.34D-15 6.46D-14 1.08D-12 6.71D-12 8.59D-10 7.16D-11 7.18D-11 5.04D-11 1.38D-11 1.46D-11 3.52D-12 2.69D-12 8.78D-13 6.78D-13 1.34D-13 9.74D-14 6.21D-14 3.06D-14 1.62D-14 5.38D-15 4.30D-15 2.49D-15 1.22D-15 6.27D-16 1.47D-16
 5.18D-20 5.99D-20 3.06D-19 2.12D-18 1.31D-17 2.02D-16 1.70D-15 2.72D-14 5.58D-13 4.99D-12 8.56D-10 1.11D-10 1.00D-10 4.37D-11 1.59D-11 1.67D-11 3.05D-12 3.86D-12 1.02D-12 4.69D-13 1.81D-13 1.78D-13 6.40D-14 4.08D-14 1.21D-14 1.04D-14 5.98D-15 3.00D-15 1.57D-15 3.63D-16
 8.99D-22 3.02D-21 7.10D-21 4.08D-20 4.75D-19 2.65D-18 6.92D-17 4.86D-16 1.63D-14 2.62D-13 5.84D-12 8.15D-10 1.08D-10 7.52D-11 5.54D-11 1.61D-11 1.43D-11 4.09D-12 4.30D-12 6.70D-13 6.16D-13 3.22D-13 1.84D-13 8.30D-14 3.03D-14 2.27D-14 1.44D-14 6.93D-15 3.81D-15 8.58D-16
 3.65D-23 3.97D-23 1.85D-22 7.25D-22 5.31D-21 7.89D-20 6.34D-19 1.87D-17 2.14D-16 7.25D-15 2.07D-13 4.25D-12 8.18D-10 8.35D-11 8.44D-11 5.72D-11 1.27D-11 1.88D-11 4.33D-12 2.67D-12 8.59D-13 1.06D-12 3.22D-13 2.31D-13 6.01D-14 5.68D-14 3.06D-14 1.65D-14 8.49D-15 2.03D-15
 2.96D-25 8.86D-25 1.78D-24 1.10D-23 7.16D-23 6.00D-22 1.23D-20 1.15D-19 4.43D-18 5.89D-17 2.69D-15 8.82D-14 2.48D-12 6.87D-10 1.11D-10 7.52D-11 4.74D-11 1.53D-11 1.94D-11 2.59D-12 3.29D-12 1.46D-12 1.02D-12 4.01D-13 1.61D-13 1.11D-13 7.50D-14 3.43D-14 2.00D-14 4.36D-15
 5.39D-27 7.36D-27 3.48D-26 1.16D-25 8.84D-25 8.95D-24 8.66D-23 2.44D-21 2.69D-20 1.41D-18 2.20D-17 1.46D-15 5.64D-14 2.50D-12 7.64D-10 1.06D-10 5.81D-11 5.99D-11 1.47D-11 1.12D-11 3.16D-12 5.33D-12 1.38D-12 1.21D-12 2.77D-13 2.92D-13 1.46D-13 8.24D-14 4.11D-14 1.01D-14
